set,clock,dbm,RSSI,attack
57,864.98,14,36,0
57,867.29,17,39,0
57,870.97,20,33,0
57,874.94,22,33,0
57,877.85,23,33,0
57,879.04,24,38,0
58,880.66,14,37,0
58,882.66,17,35,0
58,886.63,20,36,0
58,889.38,22,38,0
58,891,23,33,0
58,893.81,24,38,0
59,895.5,14,38,0
59,897.31,17,37,0
59,900.48,20,34,0
59,902.71,22,32,0
59,905.7,23,32,0
59,907.51,24,33,0
60,909.72,14,36,0
60,913.15,17,36,0
60,915.57,20,34,0
60,917.65,22,39,0
60,919.21,23,31,0
60,922.34,24,35,0
61,925.43,14,36,0
61,927.43,17,37,0
61,930.08,20,34,0
61,932.33,22,34,0
61,934.62,23,34,0
61,938.46,24,39,0
62,940.27,14,37,0
62,943.99,17,36,0
62,946.92,20,34,0
62,948.99,22,32,0
62,950.24,23,31,0
62,951.92,24,38,0
63,953.13,14,41,0
63,956.93,17,37,0
63,959.28,20,34,0
63,962.2,22,35,0
63,965.66,23,32,0
63,968.95,24,35,0
64,971.39,14,40,0
64,974.58,17,36,0
64,976.97,20,33,0
64,978.77,22,40,0
64,982.37,23,35,0
64,986.15,24,33,0
65,988.74,14,42,0
65,992.73,17,36,0
65,995.58,20,34,0
65,997.83,22,34,0
65,998.93,23,33,0
65,1001.98,24,33,0
66,1004.57,14,43,0
66,1007.22,17,37,0
66,1010.29,20,34,0
66,1013.32,22,36,0
66,1014.65,23,34,0
66,1017.35,24,37,0
67,1018.51,14,44,0
67,1022.28,17,37,0
67,1023.81,20,34,0
67,1025.67,22,37,0
67,1028.81,23,33,0
67,1031.4,24,35,0
68,1035.05,14,43,0
68,1038.67,17,37,0
68,1041.3,20,33,0
68,1044.48,22,38,0
68,1046.36,23,31,0
68,1049.98,24,37,0
69,1053.09,14,38,0
69,1055.54,17,36,0
69,1058.41,20,34,0
69,1061.3,22,38,0
69,1063.45,23,36,0
69,1065.6,24,33,0
70,1067.72,14,43,0
70,1071.68,17,35,0
70,1075.14,20,34,0
70,1078.16,22,34,0
70,1081.8,23,37,0
70,1083.6,24,34,0
71,1085.21,14,43,0
71,1087.62,17,36,0
71,1091.05,20,33,0
71,1092.32,22,35,0
71,1095.23,23,33,0
71,1097.16,24,34,0
72,1099.4,14,43,0
72,1103.3,17,37,0
72,1104.59,20,33,0
72,1105.95,22,34,0
72,1108.58,23,32,0
72,1111.96,24,35,0
73,1115.93,14,43,0
73,1117.53,17,37,0
73,1121.39,20,34,0
73,1123.49,22,36,0
73,1124.91,23,34,0
73,1126.27,24,35,0
74,1128.31,14,43,0
74,1131.93,17,37,0
74,1135.35,20,34,0
74,1138.53,22,34,0
74,1139.64,23,33,0
74,1141.62,24,34,0
75,1143.59,14,43,0
75,1147.29,17,36,0
75,1151.16,20,34,0
75,1152.88,22,36,0
75,1154.75,23,37,0
75,1156.15,24,35,0
76,1159.96,14,41,0
76,1163.54,17,37,0
76,1165.88,20,34,0
76,1167.08,22,36,0
76,1168.72,23,35,0
76,1172.68,24,34,0
77,1175.06,14,43,0
77,1177.54,17,37,0
77,1180.79,20,34,0
77,1182.62,22,35,0
77,1183.93,23,35,0
77,1187.28,24,42,0
78,1188.9,14,44,0
78,1191.08,17,42,0
78,1193.13,20,34,0
78,1196.15,22,38,0
78,1198.48,23,35,0
78,1201.3,24,37,0
79,1202.52,14,44,0
79,1204.1,17,39,0
79,1207.67,20,33,0
79,1208.8,22,37,0
79,1209.83,23,42,0
79,1211.74,24,34,0
80,1212.76,14,43,0
80,1216.47,17,36,0
80,1218.41,20,34,0
