set,clock,dbm,rssi,attack
78,1172.25,17,37,0
78,1175.27,20,36,0
78,1178.45,22,32,0
78,1179.56,23,30,0
78,1181.11,24,31,0
79,1183.16,14,6,0
79,1184.61,17,35,0
79,1187.24,20,35,0
79,1190.02,22,33,0
79,1192.7,23,32,0
79,1195.99,24,32,0
80,1197.39,14,35,0
80,1200.04,17,36,0
80,1201.63,20,34,0
80,1203.9,22,34,0
80,1207.29,23,32,0
80,1210.02,24,30,0
81,1213.51,14,39,0
81,1214.83,17,40,0
81,1217.95,20,34,0
81,1220.67,22,32,0
81,1222.74,23,40,0
81,1224.58,24,31,0
82,1227.52,14,36,0
82,1228.75,17,38,0
82,1232.7,20,35,0
82,1236.22,22,34,0
82,1237.92,23,32,0
82,1239.31,24,32,0
83,1242.63,14,36,0
83,1244.18,17,35,0
83,1246.02,20,35,0
83,1248.63,22,34,0
83,1250.31,23,32,0
83,1251.37,24,31,0
84,1253.96,14,36,0
84,1256.19,17,39,0
84,1257.36,20,45,0
84,1259.26,22,34,0
84,1261.78,23,33,0
84,1264.73,24,32,0
85,1267.32,14,34,0
85,1268.48,17,44,0
85,1270.01,20,32,0
85,1271.32,22,34,0
85,1272.91,23,33,0
85,1275.04,24,33,0
86,1276.64,14,33,0
86,1277.93,17,35,0
86,1280.51,20,32,0
86,1281.85,22,33,0
86,1283.85,23,34,0
86,1286.83,24,30,0
87,1288.71,14,37,0
87,1291.57,17,38,0
87,1293.21,20,32,0
87,1295.24,22,34,0
87,1297.57,23,31,0
87,1299.19,24,32,0
88,1301.56,14,33,0
88,1304.35,17,37,0
88,1305.67,20,32,0
88,1307.65,22,33,0
88,1310.15,23,33,0
88,1311.98,24,32,0
89,1313.65,14,7,0
89,1315.18,17,37,0
89,1318.06,20,32,0
89,1320.64,22,33,0
89,1323.19,23,31,0
89,1325.19,24,34,0
90,1326.37,14,34,0
90,1328.16,17,36,0
90,1329.69,20,32,0
90,1331.29,22,34,0
90,1333.62,23,31,0
90,1336.27,24,32,0
91,1337.93,14,34,0
91,1340.38,17,35,0
91,1342.7,20,33,0
91,1345.15,22,34,0
91,1346.18,23,34,0
91,1348.74,24,31,0
92,1351.11,14,36,0
92,1352.79,17,44,0
92,1355.51,20,39,0
92,1356.58,22,33,0
92,1358.85,23,35,0
92,1362.65,24,32,0
93,1366.41,14,34,0
93,1368.43,17,36,0
93,1370.34,20,38,0
93,1373.92,22,34,0
93,1376.21,23,31,0
93,1379.61,24,33,0
94,1381.96,14,36,0
94,1383.15,17,42,0
94,1384.64,20,35,0
94,1387.57,22,34,0
94,1390.42,23,32,0
94,1393.98,24,31,0
95,1395.1,14,35,0
95,1397.52,17,37,0
95,1400.35,20,35,0
95,1402.37,22,34,0
95,1405.39,23,32,0
95,1409.25,24,32,0
96,1410.86,14,35,0
96,1412.94,17,36,0
96,1416.4,20,32,0
96,1418.56,22,34,0
96,1419.8,23,32,0
96,1422.41,24,31,0
97,1425.5,14,36,0
97,1426.69,17,40,0
97,1428.41,20,34,0
97,1430.26,22,33,0
97,1434.03,23,30,0
97,1435.74,24,33,0
98,1437.34,14,36,0
98,1438.43,17,42,0
98,1439.51,20,34,0
98,1442.75,22,33,0
98,1445.05,23,36,0
98,1448.04,24,31,0
99,1452.03,14,36,0
99,1454.44,17,41,0
99,1457.03,20,34,0
99,1459.45,22,33,0
99,1461.49,23,33,0
99,1463.5,24,33,0
100,1465.81,14,0,0
100,1468.92,17,41,0
100,1472.85,20,37,0
100,1475.36,22,34,0
100,1478.43,23,31,0
100,1480.2,24,32,0
101,1483.28,14,36,0
101,1484.35,17,42,0
101,1488.14,20,34,0
101,1491.84,22,33,0
101,1495.3,23,32,0
101,1499.04,24,31,0
102,1501.28,14,37,0
102,1504.04,17,38,0
102,1507.13,20,36,0
102,1510.99,22,33,0
102,1513.14,23,33,0
102,1515.39,24,32,0
103,1518.18,14,35,0
103,1520.26,17,37,0
103,1521.7,20,37,0
103,1523.19,22,34,0
103,1526.23,23,34,0
103,1529.4,24,32,0
104,1530.57,14,35,0
104,1533.6,17,39,0
104,1534.83,20,36,0
104,1538.81,22,34,0
104,1541.48,23,32,0
104,1544.8,24,32,0
105,1547.6,14,35,0
105,1548.62,17,37,0
105,1550.04,20,34,0
105,1552.73,22,34,0
105,1555.77,23,31,0
105,1558.8,24,31,0
106,1560.59,14,35,0
106,1563.6,17,37,0
106,1564.82,20,35,0
106,1568.11,22,34,0
106,1570.85,23,36,0
106,1573.47,24,31,0
107,1574.83,14,34,0
107,1576.46,17,39,0
107,1577.49,20,33,0
107,1580.24,22,34,0
107,1582.37,23,33,0
107,1583.67,24,31,0
108,1586.61,14,34,0
108,1589.71,17,38,0
108,1591.32,20,34,0
108,1595.05,22,34,0
108,1596.67,23,31,0
108,1597.99,24,32,0
109,1599.45,14,37,0
109,1603.09,17,36,0
109,1604.09,20,35,0
109,1607.88,22,34,0
109,1610.51,23,31,0
109,1613.85,24,30,0
110,1616.54,14,36,0
110,1618.71,17,38,0
110,1621.3,20,34,0
110,1623.82,22,34,0
110,1627.57,23,31,0
110,1629.04,24,31,0
111,1632.13,14,34,0
111,1633.59,17,36,0
111,1634.84,20,32,0
111,1638.73,22,36,0
111,1640.95,23,33,0
111,1644.55,24,31,0
112,1646.59,14,34,0
112,1650.55,17,38,0
112,1652.28,20,32,0
112,1653.58,22,34,0
112,1655.72,23,32,0
112,1657.96,24,31,0
113,1660.89,14,34,0
113,1663.87,17,36,0
113,1666.45,20,36,0
113,1668.37,22,33,0
113,1672.28,23,30,0
113,1675.76,24,31,0
114,1679.38,14,38,0
114,1681.74,17,37,0
114,1683.29,20,35,0
114,1686.62,22,33,0
114,1690.48,23,32,0
114,1692.76,24,30,0
115,1694.07,14,34,0
115,1695.3,17,37,0
115,1698.48,20,32,0
115,1702.34,22,34,0
115,1704.4,23,32,0
115,1705.94,24,31,0
116,1708.68,14,35,0
116,1711.82,17,39,0
116,1715.1,20,33,0
116,1717.08,22,33,0
116,1718.67,23,34,0
116,1722.6,24,31,0
117,1724.61,14,34,0
117,1728.55,17,38,0
117,1731.44,20,35,0
117,1732.87,22,33,0
117,1734.85,23,36,0
117,1738.55,24,30,0
118,1742.26,14,35,0
118,1743.74,17,36,0
118,1746.32,20,35,0
118,1748.83,22,34,0
118,1750.01,23,32,0
118,1751.63,24,29,0
119,1753.18,14,28,0
119,1755.55,17,39,0
119,1757.09,20,32,0
119,1760.42,22,37,0
119,1763.02,23,34,0
119,1765.59,24,32,0
120,1769.31,14,32,0
120,1770.43,17,39,0
120,1772.19,20,34,0
120,1773.44,22,33,0
120,1775.26,23,35,0
120,1778.05,24,31,0
121,1781.8,14,34,0
121,1784.87,17,39,0
121,1788.39,20,33,0
121,1790.8,22,36,0
121,1793.08,23,34,0
121,1795.53,24,31,0
122,1796.8,14,34,0
122,1800,17,37,0
122,1801.83,20,31,0
122,1803.99,22,35,0
122,1806.14,23,36,0
122,1809.56,24,32,0
123,1813.12,14,34,0
123,1815.61,17,39,0
123,1817.81,20,34,0
123,1821.24,22,33,0
123,1824.6,23,36,0
123,1826.54,24,32,0
124,1829.36,14,36,0
124,1832.68,17,39,0
124,1835.69,20,36,0
124,1839.56,22,36,0
124,1840.91,23,35,0
124,1842.24,24,30,0
125,1843.93,14,36,0
125,1847.07,17,41,0
125,1850.34,20,35,0
125,1852.92,22,36,0
125,1856.85,23,32,0
125,1859.91,24,37,0
126,1863.79,14,37,0
126,1865.41,17,35,0
126,1868.42,20,36,0
126,1869.55,22,36,0
126,1873.29,23,35,0
126,1876.07,24,31,0
127,1878,14,37,0
127,1881.33,17,35,0
127,1884.98,20,33,0
127,1886.07,22,36,0
127,1887.11,23,34,0
127,1888.36,24,29,0
128,1892.21,14,35,0
128,1894.05,17,41,0
128,1895.4,20,35,0
128,1897.07,22,36,0
128,1901.05,23,34,0
128,1903.58,24,29,0
129,1905.31,14,36,0
129,1908.47,17,36,0
129,1912.35,20,33,0
129,1914.41,22,34,0
129,1916.02,23,33,0
129,1918.36,24,28,0
