set,clock,dbm,rssi,attack
67,1024.78,14,37,0
67,1027.31,17,35,0
67,1030.36,20,35,0
67,1032.61,22,32,0
67,1035.97,23,29,0
67,1039.42,24,29,0
68,1041.77,14,40,0
68,1044.61,17,34,0
68,1048.16,20,34,0
68,1050.78,22,33,0
68,1054.73,23,27,0
68,1056.00,24,28,0
69,1057.37,14,37,0
69,1059.30,17,35,0
69,1060.79,20,32,0
69,1064.02,22,33,0
69,1066.68,23,34,0
69,1069.21,24,31,0
70,1072.51,14,35,0
70,1075.48,17,36,0
70,1078.80,20,34,0
70,1079.82,22,29,0
70,1083.79,23,35,0
70,1085.92,24,34,0
71,1088.58,14,36,0
71,1089.62,17,36,0
71,1093.59,20,30,0
71,1096.96,22,33,0
71,1099.30,23,32,0
71,1101.45,24,28,0
72,1103.79,14,36,0
72,1105.53,17,34,0
72,1108.40,20,33,0
72,1112.05,22,33,0
72,1113.77,23,32,0
72,1117.02,24,28,0
73,1119.74,14,38,0
73,1122.46,17,34,0
73,1123.96,20,34,0
73,1125.85,22,33,0
73,1127.85,23,29,0
73,1131.66,24,34,0
74,1135.12,14,36,0
74,1137.95,17,35,0
74,1141.42,20,33,0
74,1143.61,22,34,0
74,1146.82,23,28,0
74,1148.18,24,28,0
75,1150.50,14,36,0
75,1154.00,17,34,0
75,1155.86,20,34,0
75,1158.26,22,34,0
75,1159.30,23,33,0
75,1162.60,24,29,0
76,1164.62,14,36,0
76,1166.78,17,38,0
76,1168.01,20,35,0
76,1170.07,22,33,0
76,1172.54,23,33,0
76,1175.51,24,29,0
77,1177.39,14,35,0
77,1179.91,17,37,0
77,1180.91,20,33,0
77,1184.53,22,34,0
77,1187.19,23,32,0
77,1190.08,24,28,0
78,1193.60,14,36,0
78,1196.68,17,36,0
78,1198.40,20,32,0
78,1200.03,22,32,0
78,1203.97,23,32,0
78,1205.66,24,34,0
79,1207.66,14,35,0
79,1210.87,17,35,0
79,1211.97,20,32,0
79,1214.97,22,32,0
79,1218.68,23,29,0
79,1221.48,24,28,0
80,1223.03,14,37,0
80,1226.54,17,34,0
80,1227.71,20,35,0
80,1231.16,22,33,0
80,1234.62,23,32,0
80,1236.06,24,29,0
81,1239.69,14,37,0
81,1242.27,17,35,0
81,1245.22,20,35,0
81,1246.92,22,35,0
81,1249.75,23,28,0
81,1253.69,24,29,0
82,1256.51,14,35,0
82,1260.12,17,34,0
82,1262.36,20,31,0
82,1266.00,22,33,0
82,1267.60,23,30,0
82,1270.66,24,27,0
83,1272.98,14,36,0
83,1274.01,17,39,0
83,1276.20,20,34,0
83,1279.53,22,34,0
83,1282.42,23,31,0
83,1284.06,24,29,0
84,1286.59,14,36,0
84,1288.13,17,36,0
84,1289.34,20,38,0
84,1290.40,22,35,0
84,1293.35,23,29,0
84,1296.12,24,29,0
85,1298.89,14,38,0
85,1301.00,17,34,0
85,1302.48,20,36,0
85,1304.75,22,32,0
85,1305.98,23,31,0
85,1308.24,24,27,0
86,1310.41,14,37,0
86,1311.80,17,34,0
86,1314.64,20,33,0
86,1317.25,22,34,0
86,1318.34,23,29,0
86,1319.48,24,29,0
87,1320.75,14,36,0
87,1323.07,17,34,0
87,1325.14,20,31,0
87,1326.67,22,32,0
87,1328.97,23,34,0
87,1330.62,24,28,0
88,1332.38,14,36,0
88,1335.24,17,34,0
88,1337.82,20,36,0
88,1340.06,22,32,0
88,1343.00,23,34,0
88,1344.38,24,28,0
89,1345.90,14,35,0
89,1347.73,17,38,0
89,1350.40,20,32,0
89,1352.21,22,36,0
89,1354.71,23,27,0
89,1357.68,24,30,0
90,1359.25,14,36,0
90,1360.44,17,35,0
90,1361.89,20,36,0
90,1364.40,22,30,0
90,1366.46,23,30,0
90,1369.41,24,28,0
91,1370.78,14,36,0
91,1371.92,17,36,0
91,1373.39,20,37,0
91,1375.07,22,35,0
91,1376.65,23,27,0
91,1379.33,24,28,0
92,1381.96,14,36,0
92,1384.43,17,35,0
92,1386.60,20,32,0
92,1388.07,22,35,0
92,1390.27,23,29,0
92,1393.03,24,27,0
93,1396.98,14,35,0
93,1399.25,17,34,0
93,1402.30,20,31,0
93,1404.52,22,29,0
93,1407.89,23,33,0
93,1409.07,24,33,0
94,1411.19,14,36,0
94,1414.70,17,34,0
94,1418.51,20,34,0
94,1420.56,22,30,0
94,1423.19,23,29,0
94,1424.66,24,29,0
95,1426.92,14,36,0
95,1430.64,17,36,0
95,1434.15,20,33,0
95,1436.78,22,33,0
95,1438.77,23,33,0
95,1440.05,24,27,0
96,1444.03,14,36,0
96,1445.41,17,34,0
96,1446.96,20,32,0
96,1449.55,22,30,0
96,1451.59,23,29,0
96,1454.28,24,29,0
97,1455.48,14,36,0
97,1458.08,17,38,0
97,1461.42,20,34,0
97,1464.94,22,32,0
97,1466.07,23,30,0
97,1467.65,24,30,0
98,1469.03,14,36,0
98,1471.14,17,34,0
98,1472.67,20,33,0
98,1473.86,22,30,0
98,1476.93,23,32,0
98,1480.42,24,28,0
99,1484.31,14,36,0
99,1485.95,17,34,0
99,1488.44,20,32,0
99,1489.80,22,32,0
99,1492.32,23,30,0
99,1496.14,24,30,0
100,1498.84,14,35,0
100,1501.57,17,34,0
100,1503.14,20,36,0
100,1505.53,22,32,0
100,1507.77,23,33,0
100,1510.27,24,29,0
101,1512.14,14,35,0
101,1515.16,17,36,0
101,1517.69,20,33,0
101,1519.70,22,34,0
101,1522.44,23,32,0
101,1525.02,24,29,0
102,1526.72,14,36,0
102,1530.04,17,36,0
102,1532.45,20,31,0
102,1535.82,22,32,0
102,1538.80,23,29,0
102,1541.49,24,27,0
103,1544.97,14,37,0
103,1546.92,17,36,0
103,1549.84,20,36,0
103,1553.37,22,34,0
103,1557.24,23,30,0
103,1560.77,24,27,0
104,1563.35,14,36,0
104,1566.64,17,34,0
104,1567.68,20,33,0
104,1568.69,22,32,0
104,1570.04,23,30,0
104,1572.97,24,29,0
105,1576.87,14,36,0
105,1577.99,17,34,0
105,1581.42,20,33,0
105,1584.82,22,29,0
105,1587.73,23,27,0
105,1590.19,24,29,0
106,1593.01,14,36,0
106,1596.53,17,34,0
106,1599.80,20,33,0
106,1601.86,22,29,0
106,1603.54,23,32,0
106,1606.94,24,28,0
107,1609.46,14,35,0
107,1611.69,17,34,0
107,1613.84,20,31,0
107,1615.81,22,30,0
107,1617.91,23,30,0
107,1619.37,24,27,0
108,1620.58,14,37,0
108,1624.58,17,35,0
108,1626.00,20,34,0
108,1628.23,22,32,0
108,1631.61,23,29,0
108,1632.91,24,27,0
109,1634.66,14,37,0
109,1638.41,17,34,0
109,1639.85,20,33,0
109,1641.97,22,33,0
109,1645.73,23,30,0
109,1648.74,24,29,0
110,1652.19,14,37,0
110,1654.13,17,35,0
110,1657.19,20,34,0
110,1659.49,22,33,0
110,1663.32,23,28,0
110,1665.78,24,30,0
111,1667.60,14,36,0
111,1670.72,17,35,0
111,1673.55,20,34,0
111,1677.21,22,31,0
111,1678.38,23,29,0
111,1681.53,24,33,0
112,1682.63,14,36,0
112,1684.80,17,35,0
112,1688.73,20,34,0
112,1692.44,22,33,0
112,1695.85,23,31,0
112,1698.29,24,28,0
113,1701.31,14,37,0
113,1702.85,17,34,0
113,1704.40,20,31,0
113,1706.86,22,31,0
113,1709.94,23,28,0
113,1713.79,24,29,0
114,1716.77,14,37,0
114,1718.10,17,34,0
114,1721.40,20,33,0
114,1723.67,22,34,0
114,1724.68,23,27,0
114,1726.25,24,30,0
115,1727.87,14,36,0
115,1729.52,17,34,0
115,1731.22,20,33,0
115,1732.78,22,32,0
115,1734.21,23,32,0
115,1737.33,24,31,0
116,1740.17,14,36,0
116,1743.99,17,35,0
116,1746.42,20,33,0
116,1747.79,22,33,0
116,1750.91,23,29,0
116,1752.96,24,32,0
117,1754.00,14,35,0
117,1757.70,17,34,0
117,1758.88,20,32,0
117,1762.62,22,32,0
117,1764.07,23,30,0
117,1765.30,24,27,0
118,1769.21,14,37,0
118,1770.74,17,35,0
118,1773.16,20,36,0
118,1776.38,22,30,0
118,1778.76,23,28,0
118,1780.31,24,28,0
119,1782.06,14,36,0
119,1783.88,17,35,0
119,1786.57,20,31,0
119,1788.31,22,35,0
119,1791.86,23,31,0
119,1793.69,24,30,0
120,1796.57,14,35,0
120,1799.20,17,35,0
120,1800.53,20,35,0
120,1802.88,22,33,0
120,1804.61,23,29,0
120,1805.65,24,34,0
121,1808.88,14,36,0
121,1811.36,17,35,0
121,1813.38,20,35,0
121,1815.01,22,33,0
121,1816.30,23,29,0
121,1818.25,24,30,0
122,1820.22,14,36,0
122,1824.21,17,35,0
122,1827.41,20,36,0
122,1830.50,22,35,0
122,1832.50,23,30,0
122,1834.69,24,28,0
123,1837.07,14,35,0
123,1838.87,17,36,0
123,1840.29,20,33,0
123,1842.07,22,32,0
123,1843.64,23,32,0
123,1845.00,24,31,0
124,1848.11,14,36,0
124,1851.79,17,36,0
124,1853.52,20,34,0
124,1857.26,22,31,0
124,1860.11,23,31,0
124,1862.71,24,28,0
125,1864.39,14,35,0
125,1866.96,17,36,0
125,1868.42,20,33,0
125,1871.57,22,33,0
125,1872.57,23,29,0
125,1874.66,24,28,0
126,1877.22,14,35,0
126,1878.90,17,35,0
126,1880.66,20,32,0
126,1882.96,22,32,0
126,1885.82,23,29,0
126,1888.18,24,29,0
127,1891.34,14,36,0
127,1895.11,17,35,0
127,1898.81,20,32,0
127,1900.04,22,34,0
127,1902.75,23,28,0
127,1905.87,24,28,0
128,1907.02,14,36,0
128,1909.08,17,35,0
128,1910.69,20,32,0
128,1912.89,22,34,0
128,1914.35,23,34,0
128,1917.78,24,28,0
129,1920.92,14,36,0
129,1924.74,17,34,0
129,1927.29,20,34,0
129,1931.09,22,34,0
129,1933.20,23,36,0
129,1935.89,24,32,0
130,1939.82,14,37,0
130,1942.47,17,36,0
130,1946.15,20,34,0
130,1948.43,22,30,0
130,1951.38,23,32,0
130,1953.12,24,28,0
131,1955.74,14,36,0
131,1957.05,17,34,0
131,1959.14,20,32,0
131,1962.74,22,34,0
131,1965.76,23,30,0
131,1969.24,24,28,0
132,1971.84,14,35,0
132,1974.26,17,34,0
132,1975.58,20,35,0
132,1977.30,22,31,0
132,1978.56,23,29,0
132,1981.42,24,30,0
133,1983.14,14,36,0
133,1985.78,17,34,0
133,1988.30,20,32,0
133,1991.02,22,33,0
133,1993.01,23,32,0
133,1996.92,24,28,0
134,2000.73,14,36,0
134,2003.39,17,34,0
134,2007.11,20,32,0
134,2009.65,22,35,0
134,2011.83,23,36,0
134,2013.19,24,29,0
135,2016.94,14,35,0
135,2018.29,17,34,0
135,2019.51,20,33,0
135,2022.41,22,32,0
135,2025.94,23,32,0
135,2028.78,24,27,0
136,2029.91,14,37,0
136,2031.80,17,34,0
136,2034.73,20,33,0
136,2038.63,22,33,0
136,2039.93,23,32,0
136,2041.40,24,30,0
137,2043.77,14,36,0
137,2046.11,17,34,0
137,2049.79,20,33,0
137,2051.52,22,33,0
137,2053.62,23,33,0
137,2055.34,24,31,0
138,2057.16,14,36,0
138,2060.28,17,35,0
138,2064.13,20,32,0
138,2067.59,22,34,0
138,2071.18,23,29,0
138,2073.82,24,30,0
139,2075.86,14,36,0
139,2077.98,17,35,0
139,2081.38,20,34,0
139,2082.75,22,33,0
139,2084.20,23,31,0
139,2087.23,24,29,0
140,2090.28,14,36,0
140,2091.58,17,35,0
140,2093.77,20,32,0
140,2097.32,22,32,0
140,2100.43,23,32,0
140,2102.39,24,29,0
141,2104.73,14,36,0
141,2108.15,17,36,0
